NAME;WHAT IT DOES; FUNDING (M) ;YEAR FOUNDED;HEADQUARTERS
Abridge;Medical conversation documentation; $213.000.000 ;2018;Pittsburgh, Pennsylvania, United States
Adept;AI model developer; $415.000.000 ;2022;San Francisco, California, United States
Anduril Industries;Defense software and hardware; $2.800.000.000 ;2017;Costa Mesa, California, United States
Anthropic;AI model developer; $7.700.000.000 ;2020;San Francisco, California, United States
Anyscale;AI app deployment software; $259.000.000 ;2019;San Francisco, California, United States
AssemblyAI;Speech transcription tooling provider; $115.000.000 ;2017;San Francisco, California, United States
Baseten;AI app deployment software; $60.000.000 ;2019;San Francisco, California, United States
Cerebras Systems;Computer chip maker; $720.000.000 ;2016;Sunnyvale, California, United States
Character.AI;Consumer chatbot app; $193.000.000 ;2021;Menlo Park, California, United States
Cleanlab;Error detection for data; $30.000.000 ;2021;San Francisco, California, United States
Codeium;Coding autocompletion app; $93.000.000 ;2021;Mountain View, California, United States
Cohere;AI model developer; $445.000.000 ;2019;Toronto, Ontario, Canada
Cradle;Protein design for drug discovery; $33.000.000 ;2021;Amsterdam, Netherlands
Cresta;Call center agent assistance; $152.000.000 ;2017;Palo Alto, California, United States
Databricks;Data storage and analytics; $4.000.000.000 ;2013;San Francisco, California, United States
DeepL;Language translation service; $100.000.000 ;2017;Cologne, Germany
ElevenLabs;Voice generation software; $101.000.000 ;2022;London, United Kingdom
Figure AI;Autonomous humanoid robots; $754.000.000 ;2022;Sunnyvale, California, United States
Glean;Enterprise search engine; $360.000.000 ;2019;Palo Alto, California, United States
Harvey;AI models for law firms; $106.000.000 ;2022;San Francisco, California, United States
Hebbia;Enterprise search engine; $30.000.000 ;2020;New York, New York, United States
Hugging Face;Library for AI models and datasets; $395.000.000 ;2016;New York, New York, United States
Insitro;Drug discovery and development; $643.000.000 ;2018;San Francisco, California, United States
Kumo.AI;Data analytics software; $37.000.000 ;2021;Mountain View, California, United States
LangChain;AI app development tools; $35.000.000 ;2023;San Francisco, California, United States
Leonardo.AI;Image generation service; $31.000.000 ;2022;Sydney, Australia
Midjourney;Image generation service; $-   ;2021;San Francisco, California, United States
Mistral AI;Open-source AI model research; $528.000.000 ;2023;Paris, France
Notion;Productivity software; $330.000.000 ;2013;San Francisco, California, United States
OpenAI;AI model developer; $11.300.000.000 ;2015;San Francisco, California, United States
Owkin;Drug discovery and development; $304.000.000 ;2016;New York, New York, United States
Perplexity;General purpose search app; $102.000.000 ;2022;San Francisco, California, United States
Photoroom;Photo editing app; $64.000.000 ;2019;Paris, France
Pika;Video generation service; $55.000.000 ;2023;Palo Alto, California, United States
Pinecone;Database software; $138.000.000 ;2019;New York, New York, United States
Replicate;AI app deployment software; $60.000.000 ;2019;San Francisco, California, United States
Rosebud AI;Video game design software; $10.000.000 ;2019;San Francisco, California, United States
Runway;Image and video editing software; $237.000.000 ;2018;New York, New York, United States
Sana;Enterprise learning and search; $82.000.000 ;2016;Stockholm, Sweden
Scale AI;Data labeling and software; $600.000.000 ;2016;San Francisco, California, United States
Sierra;Customer service software; $110.000.000 ;2023;San Francisco, California, United States
Synthesia;AI avatar and video generator; $157.000.000 ;2017;London, United Kingdom
Together AI;AI model development tools; $229.000.000 ;2022;San Francisco, California, United States
Tome;Presentation creation software; $81.000.000 ;2020;San Francisco, California, United States
Tractian;Industrial machine maintenance; $65.000.000 ;2019;Atlanta, Georgia, United States
Unstructured;AI app development tools; $65.000.000 ;2022;Sacramento, California, United States
Vannevar Labs;Defense intelligence software; $87.000.000 ;2019;Palo Alto, California, United States
Waabi;Autonomous trucking technology; $84.000.000 ;2021;Toronto, Ontario, Canada
Weaviate;Database software; $68.000.000 ;2019;Amsterdam, Netherlands
Writer;Enterprise generative AI software; $126.000.000 ;2020;San Francisco, California, United States
